026-06-22 17:10:22,485 | INFO | ============================================================
2026-06-22 18:33:19,852 | INFO |   → OK | 4987 kata | disimpan ke case_006.txt
2026-06-22 18:33:19,852 | INFO | [7/35] Memproses: putusan_120-k_pm.iii-19_ad_iii_2023_20260619170311.pdf
2026-06-22 18:33:20,614 | INFO |   → OK | 466 kata | disimpan ke case_007.txt
2026-06-22 18:33:20,614 | INFO | [8/35] Memproses: putusan_122-k_pm.iii-19_ad_iii_2023_20260619170256.pdf
2026-06-22 18:33:21,423 | INFO |   → OK | 493 kata | disimpan ke case_008.txt
2026-06-22 18:33:21,423 | INFO | [9/35] Memproses: putusan_123-k_pm.iii-19_ad_iii_2023_20260619170329.pdf
2026-06-22 18:33:22,194 | INFO |   → OK | 466 kata | disimpan ke case_009.txt
2026-06-22 18:33:22,194 | INFO | [10/35] Memproses: putusan_130-k_pm.iii-19_ad_iii_2023_20260619164523.pdf
2026-06-22 18:33:23,042 | INFO |   → OK | 6754 kata | disimpan ke case_010.txt
2026-06-22 18:33:23,042 | INFO | [11/35] Memproses: putusan_131-k_pm.iii-19_ad_iii_2023_20260619170211.pdf
2026-06-22 18:33:24,916 | INFO |   → OK | 10158 kata | disimpan ke case_011.txt
2026-06-22 18:33:24,916 | INFO | [12/35] Memproses: putusan_133-k_pm.iii-19_ad_iii_2023_20260619170403.pdf
2026-06-22 18:33:26,198 | INFO |   → OK | 439 kata | disimpan ke case_012.txt
2026-06-22 18:33:26,198 | INFO | [13/35] Memproses: putusan_137-k_pm.iii-19_ad_iv_2023_20260619170505.pdf
2026-06-22 18:33:28,229 | INFO |   → OK | 439 kata | disimpan ke case_013.txt
2026-06-22 18:33:28,230 | INFO | [14/35] Memproses: putusan_152-k_pm.iii-19_ad_v_2023_20260619164244.pdf
2026-06-22 18:33:28,337 | INFO |   → OK | 102 kata | disimpan ke case_014.txt
2026-06-22 18:33:28,338 | INFO | [15/35] Memproses: putusan_154-k_pm.iii-19_ad_v_2023_20260619162749.pdf
2026-06-22 18:33:30,304 | INFO |   → OK | 6429 kata | disimpan ke case_015.txt
2026-06-22 18:33:30,304 | INFO | [16/35] Memproses: putusan_16-k_pm.iii-19_al_i_2023_20260619163748.pdf
2026-06-22 18:33:31,245 | INFO |   → OK | 5286 kata | disimpan ke case_016.txt
2026-06-22 18:33:31,245 | INFO | [17/35] Memproses: putusan_162-k_pm.iii-19_ad_v_2023_20260619164507.pdf
2026-06-22 18:33:31,383 | INFO |   → OK | 472 kata | disimpan ke case_017.txt
2026-06-22 18:33:31,384 | INFO | [18/35] Memproses: putusan_163-k_pm.iii-19_ad_v_2023_20260619164357.pdf
2026-06-22 18:33:31,602 | INFO |   → OK | 737 kata | disimpan ke case_018.txt
2026-06-22 18:33:31,603 | INFO | [19/35] Memproses: putusan_164-k_pm.iii-19_ad_v_2023_20260619164334.pdf
2026-06-22 18:33:31,650 | INFO |   → OK | 102 kata | disimpan ke case_019.txt
2026-06-22 18:33:31,650 | INFO | [20/35] Memproses: putusan_17-k_pm.iii-19_al_i_2023_20260619162844.pdf
2026-06-22 18:33:32,861 | INFO |   → OK | 6166 kata | disimpan ke case_020.txt
2026-06-22 18:33:32,862 | INFO | [21/35] Memproses: putusan_171-k_pm.iii-19_ad_v_2023_20260619165914.pdf
2026-06-22 18:33:32,875 | WARNING | [SKIP] putusan_171-k_pm.iii-19_ad_v_2023_20260619165914.pdf — terlalu pendek (34 kata) → kemungkinan PDF scan/gambar
2026-06-22 18:33:32,875 | INFO | [22/35] Memproses: putusan_180-k_pm.iii-19_ad_vi_2023_20260619170236.pdf
2026-06-22 18:33:34,164 | INFO |   → OK | 7381 kata | disimpan ke case_022.txt
2026-06-22 18:33:34,164 | INFO | [23/35] Memproses: putusan_181-k_pm.iii-19_ad_vi_2023_20260619170539.pdf
2026-06-22 18:33:35,545 | INFO |   → OK | 7432 kata | disimpan ke case_023.txt
2026-06-22 18:33:35,545 | INFO | [24/35] Memproses: putusan_193-k_pm.iii-19_ad_vi_2023_20260619170839.pdf
2026-06-22 18:33:36,885 | INFO |   → OK | 6677 kata | disimpan ke case_024.txt
2026-06-22 18:33:36,885 | INFO | [25/35] Memproses: putusan_194-k_pm.iii-19_ad_vi_2023_20260619165111.pdf
